time_ms,balance,unrealized_pnl,equity
1647849600000,461.40350580517236,0.0,461.40350580517236
1647864000000,461.40350580517236,0.0,461.40350580517236
1647878400000,461.40350580517236,0.0,461.40350580517236
1647892800000,461.40350580517236,-2.6340814110344084,458.76942439413796
1647907200000,464.3775426600462,3.7194851972375065,468.0970278572837
1647921600000,467.406077979993,0.0,467.406077979993
1647936000000,467.406077979993,0.0,467.406077979993
1647950400000,467.406077979993,0.0,467.406077979993
1647964800000,467.406077979993,-3.715005233959949,463.691072746033
1647979200000,467.406077979993,-4.527557527353491,462.87852045263946
1647993600000,460.7073751764949,-3.2831050852217376,457.4242700912732
1648008000000,460.7073751764949,-3.0207379640050345,457.68663721248987
1648022400000,460.7073751764949,-3.3946865045897616,457.31268867190516
1648036800000,460.7073751764949,-0.14374677273221423,460.5636284037627
1648051200000,460.7073751764949,-2.4236265846842606,458.28374859181065
1648065600000,462.1416754743547,5.80443128115056,467.9461067555053
1648080000000,466.7244255388747,0.5528831698086887,467.2773087086834
1648094400000,468.1795806177604,3.3671566645874336,471.5467372823478
1648108800000,469.2294527819533,2.3869427122938442,471.6163954942471
1648123200000,472.23778632332983,3.9684823323811322,476.20626865571097
1648137600000,472.23778632332983,3.6186222819614846,475.85640860529134
1648152000000,472.23778632332983,3.793552307171318,476.0313386305011
1648166400000,472.23778632332983,4.886864964732707,477.1246512880625
1648180800000,472.23778632332983,3.967047584952976,476.2048339082828
1648195200000,475.55949612500217,3.124582038575384,478.68407816357757
1648209600000,478.59400447105435,0.0,478.59400447105435
1648224000000,478.59400447105435,0.0,478.59400447105435
1648238400000,478.59400447105435,0.0,478.59400447105435
1648252800000,478.59400447105435,0.15870927164222542,478.7527137426966
1648267200000,478.59400447105435,0.7520074703670436,479.3460119414214
1648281600000,478.59400447105435,-0.15277228268830423,478.44123218836603
1648296000000,478.59400447105435,-1.7263515776499265,476.8676528934044
1648310400000,478.59400447105435,-0.3123327759556833,478.2816716950987
1648324800000,478.59400447105435,2.3004419560701814,480.89444642712454
1648339200000,478.59400447105435,3.6250302853755914,482.21903475642995
1648353600000,478.59400447105435,4.6608948776096355,483.25489934866397
1648368000000,478.59400447105435,2.8942295155304567,481.4882339865848
1648382400000,478.59400447105435,6.618417676326327,485.21242214738066
1648396800000,482.75235108869714,2.8483202394668212,485.60067132816397
1648411200000,489.9775268514672,9.902523899403775,499.88005075087096
1648425600000,496.4183601807264,4.551270248060294,500.9696304287867
1648440000000,501.197422140055,0.0,501.197422140055
1648454400000,501.197422140055,0.0,501.197422140055
1648468800000,501.197422140055,0.0,501.197422140055
1648483200000,501.197422140055,2.6842593026509958,503.881681442706
1648497600000,501.197422140055,-1.9169390072767516,499.2804831327782
1648512000000,501.197422140055,-0.741238492752627,500.45618364730234
1648526400000,501.197422140055,-0.6599554942176258,500.53746664583736
1648540800000,501.197422140055,2.3649332369777767,503.56235537703276
1648555200000,501.197422140055,-0.18967528840797593,501.007746851647
1648569600000,501.197422140055,1.4737232173261559,502.67114535738114
1648584000000,501.197422140055,-0.20128714534154757,500.99613499471343
1648598400000,501.197422140055,-1.9095934409359683,499.287828699119
1648612800000,501.197422140055,-0.36913671690636796,500.8282854231486
1648627200000,500.3545798991336,0.17461265975117568,500.5291925588848
1648641600000,500.3545798991336,-1.8770339631604132,498.47754593597324
1648656000000,500.3545798991336,-0.8006276481811581,499.5539522509525
1648670400000,500.3545798991336,-1.6220956254021646,498.7324842737315
1648684800000,500.3545798991336,-0.7237414828255129,499.6308384163081
1648699200000,500.3545798991336,-0.2138648073090159,500.14071509182463
1648713600000,500.3545798991336,0.27982530707995157,500.63440520621356
1648728000000,500.3545798991336,-4.309064772568373,496.04551512656525
