symbol,side,entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,pnl,pnl_pct,reason,leverage,leverage_tier,partials_json
ETHUSDT,short,1631275200000,1631275200000,3403.25,3252.61825,0.02298783570670731,3.3785457180147396,4.426114743260119,TRAILING_STOP,5.0,major,"[{""fill_price"":3335.185,""level"":0.02,""pnl"":1.5096642012161785,""qty"":0.023456975210925827,""size"":0.3,""time_ms"":1631275200000},{""fill_price"":3301.1524999999997,""level"":0.03,""pnl"":1.6158819423683257,""qty"":0.016419882647648078,""size"":0.3,""time_ms"":1631275200000},{""fill_price"":3233.0874999999996,""level"":0.05,""pnl"":2.551841549042165,""qty"":0.015325223804471542,""size"":0.4,""time_ms"":1631275200000}]"
BTCUSDT,short,1631289600000,1631304000000,45445.0,44813.26499999999,0.004223127560960027,2.4582527981338522,1.3901089228738208,TRAILING_STOP,5.0,major,"[{""fill_price"":44536.1,""level"":0.02,""pnl"":1.5554570251285924,""qty"":0.0018099118118400112,""size"":0.3,""time_ms"":1631304000000}]"
ETHUSDT,short,1631289600000,1631304000000,3302.05,3186.1865,0.04068503578246238,4.568724869589178,3.508835420420659,TRAILING_STOP,5.0,major,"[{""fill_price"":3236.009,""level"":0.02,""pnl"":1.555457025128594,""qty"":0.024909205581099412,""size"":0.3,""time_ms"":1631304000000},{""fill_price"":3202.9885,""level"":0.03,""pnl"":1.6648966816663155,""qty"":0.01743644390676959,""size"":0.3,""time_ms"":1631304000000}]"
ETHUSDT,short,1631318400000,1631318400000,3210.7,3290.9674999999997,0.0874126723859973,-7.328977152870134,-2.499999999999998,stop_loss,5.0,major,[]
ETHUSDT,short,1631332800000,1631361600000,3244.0,3325.1,0.08527415654340952,-7.2238300496326255,-2.4999999999999973,stop_loss,5.0,major,[]
ETHUSDT,short,1631376000000,1631404800000,3312.55,3271.345,0.057617979925342025,2.1655059613564323,1.2439057523660135,TRAILING_STOP,5.0,major,"[{""fill_price"":3246.299,""level"":0.02,""pnl"":1.546885539225173,""qty"":0.024693419968003723,""size"":0.3,""time_ms"":1631390400000}]"
BTCUSDT,short,1631318400000,1631433600000,44871.0,45992.774999999994,0.0062547272677168225,-7.328977152870104,-2.499999999999987,stop_loss,5.0,major,[]
ETHUSDT,short,1631419200000,1631433600000,3331.05,3414.32625,0.08246654869940845,-7.173452270588156,-2.4999999999999964,stop_loss,5.0,major,[]
BTCUSDT,short,1631448000000,1631476800000,46048.5,45573.49999999999,0.004054699813944963,1.721657573129591,1.0315211136084939,TRAILING_STOP,5.0,major,"[{""fill_price"":45127.53,""level"":0.02,""pnl"":1.5132542571927492,""qty"":0.0017377284916906984,""size"":0.3,""time_ms"":1631476800000}]"
ETHUSDT,short,1631448000000,1631476800000,3437.85,3356.1482499999997,0.03801765378585781,2.9640483148890917,2.3765362072225424,TRAILING_STOP,5.0,major,"[{""fill_price"":3369.093,""level"":0.02,""pnl"":1.5132542571927488,""qty"":0.02327611456277008,""size"":0.3,""time_ms"":1631476800000},{""fill_price"":3334.7145,""level"":0.03,""pnl"":1.6197245893754857,""qty"":0.016293280193939056,""size"":0.3,""time_ms"":1631476800000}]"
